frame.time_epoch,frame.time_delta,ip.proto,ip.ttl,ip.src,ip.dst,tcp.srcport,tcp.dstport,udp.srcport,udp.dstport,tcp.flags,tcp.seq,tcp.ack,tcp.len,tcp.window_size,tcp.options.mss,tcp.analysis.bytes_in_flight,udp.length,frame.len,label
1746867583.532985000,0.998794000,6,64,10.0.3.7,10.0.3.5,55046,4444,,,0x0018,7528,106,50,5888,,50,,116,1
1746867583.533458000,0.000473000,6,64,10.0.3.5,10.0.3.7,4444,55046,,,0x0010,106,7578,0,60928,,,,66,1
1746867583.533473000,0.000015000,6,64,10.0.3.7,10.0.3.5,55046,4444,,,0x0018,7578,106,97,5888,,97,,163,1
1746867583.533846000,0.000373000,6,64,10.0.3.5,10.0.3.7,4444,55046,,,0x0010,106,7675,0,60928,,,,66,1
1746867583.534457000,0.000611000,,,,,,,,,,,,,,,,,42,1
1746867583.534457000,0.000000000,,,,,,,,,,,,,,,,,42,1
1746867583.544130000,0.009673000,,,,,,,,,,,,,,,,,42,1
1746867584.534109000,0.989979000,,,,,,,,,,,,,,,,,42,1
1746867584.535065000,0.000956000,6,64,10.0.3.7,10.0.3.5,55046,4444,,,0x0018,7675,106,50,5888,,50,,116,1
1746867584.535320000,0.000255000,6,64,10.0.3.5,10.0.3.7,4444,55046,,,0x0010,106,7725,0,60928,,,,66,1
1746867584.535327000,0.000007000,6,64,10.0.3.7,10.0.3.5,55046,4444,,,0x0018,7725,106,97,5888,,97,,163,1
1746867584.535514000,0.000187000,6,64,10.0.3.5,10.0.3.7,4444,55046,,,0x0010,106,7822,0,60928,,,,66,1
1746867584.544127000,0.008613000,,,,,,,,,,,,,,,,,42,1
1746867584.544173000,0.000046000,,,,,,,,,,,,,,,,,42,1
1746867585.535892000,0.991719000,6,64,10.0.3.7,10.0.3.5,55046,4444,,,0x0018,7822,106,50,5888,,50,,116,1
1746867585.536331000,0.000439000,6,64,10.0.3.5,10.0.3.7,4444,55046,,,0x0010,106,7872,0,60928,,,,66,1
1746867585.536408000,0.000077000,6,64,10.0.3.7,10.0.3.5,55046,4444,,,0x0018,7872,106,97,5888,,97,,163,1
1746867585.536801000,0.000393000,6,64,10.0.3.5,10.0.3.7,4444,55046,,,0x0010,106,7969,0,60928,,,,66,1
1746867585.544153000,0.007352000,,,,,,,,,,,,,,,,,42,1
1746867585.544193000,0.000040000,,,,,,,,,,,,,,,,,42,1
1746867585.544201000,0.000008000,,,,,,,,,,,,,,,,,42,1
1746867586.537698000,0.993497000,6,64,10.0.3.7,10.0.3.5,55046,4444,,,0x0018,7969,106,50,5888,,50,,116,1
1746867586.538210000,0.000512000,6,64,10.0.3.5,10.0.3.7,4444,55046,,,0x0010,106,8019,0,60928,,,,66,1
1746867586.538265000,0.000055000,6,64,10.0.3.7,10.0.3.5,55046,4444,,,0x0018,8019,106,97,5888,,97,,163,1
1746867586.538453000,0.000188000,6,64,10.0.3.5,10.0.3.7,4444,55046,,,0x0010,106,8116,0,60928,,,,66,1
1746867586.544099000,0.005646000,,,,,,,,,,,,,,,,,42,1
1746867586.544126000,0.000027000,,,,,,,,,,,,,,,,,42,1
1746867586.544130000,0.000004000,,,,,,,,,,,,,,,,,42,1
1746867587.539196000,0.995066000,6,64,10.0.3.7,10.0.3.5,55046,4444,,,0x0018,8116,106,50,5888,,50,,116,1
1746867587.539729000,0.000533000,6,64,10.0.3.5,10.0.3.7,4444,55046,,,0x0010,106,8166,0,60928,,,,66,1
1746867587.539745000,0.000016000,6,64,10.0.3.7,10.0.3.5,55046,4444,,,0x0018,8166,106,97,5888,,97,,163,1
1746867587.540154000,0.000409000,6,64,10.0.3.5,10.0.3.7,4444,55046,,,0x0010,106,8263,0,60928,,,,66,1
1746867587.544265000,0.004111000,,,,,,,,,,,,,,,,,42,1
1746867587.544346000,0.000081000,,,,,,,,,,,,,,,,,42,1
1746867587.544375000,0.000029000,,,,,,,,,,,,,,,,,42,1
