frame.time_epoch,frame.time_delta,ip.proto,ip.ttl,ip.src,ip.dst,tcp.srcport,tcp.dstport,udp.srcport,udp.dstport,tcp.flags,tcp.seq,tcp.ack,tcp.len,tcp.window_size,tcp.options.mss,tcp.analysis.bytes_in_flight,udp.length,frame.len,label
1747142612.729411000,0.000040000,1,64,10.7.7.5,10.7.7.4,,,,,,,,,,,,,98,0
1747142613.729354000,0.999943000,1,64,10.7.7.4,10.7.7.5,,,,,,,,,,,,,98,0
1747142613.729391000,0.000037000,1,64,10.7.7.5,10.7.7.4,,,,,,,,,,,,,98,0
1747142613.738647000,0.009256000,1,64,10.7.7.5,10.7.7.4,,,,,,,,,,,,,98,0
1747142613.739401000,0.000754000,1,64,10.7.7.4,10.7.7.5,,,,,,,,,,,,,98,0
1747142614.729292000,0.989891000,1,64,10.7.7.4,10.7.7.5,,,,,,,,,,,,,98,0
1747142614.729320000,0.000028000,1,64,10.7.7.5,10.7.7.4,,,,,,,,,,,,,98,0
1747142614.739493000,0.010173000,1,64,10.7.7.5,10.7.7.4,,,,,,,,,,,,,98,0
1747142614.739991000,0.000498000,1,64,10.7.7.4,10.7.7.5,,,,,,,,,,,,,98,0
1747142615.729938000,0.989947000,1,64,10.7.7.4,10.7.7.5,,,,,,,,,,,,,98,0
1747142615.729964000,0.000026000,1,64,10.7.7.5,10.7.7.4,,,,,,,,,,,,,98,0
1747142615.749356000,0.019392000,1,64,10.7.7.5,10.7.7.4,,,,,,,,,,,,,98,0
1747142615.749581000,0.000225000,1,64,10.7.7.4,10.7.7.5,,,,,,,,,,,,,98,0
1747142616.730555000,0.980974000,1,64,10.7.7.4,10.7.7.5,,,,,,,,,,,,,98,0
1747142616.730593000,0.000038000,1,64,10.7.7.5,10.7.7.4,,,,,,,,,,,,,98,0
1747142616.778161000,0.047568000,1,64,10.7.7.5,10.7.7.4,,,,,,,,,,,,,98,0
1747142616.778438000,0.000277000,1,64,10.7.7.4,10.7.7.5,,,,,,,,,,,,,98,0
